DN sort_id size average sd prov sd_prov sel_id xcoord ycoord
287418 154 211 22 0 8 0 287418 20.43151621 4.60504303
289896 155 55 22 0 12 0 289896 24.87189652 4.60341998
291039 156 79 22 0 12 0 291039 24.89942648 4.60166323
293619 157 93 22 0 8 0 293619 20.05537948 4.59823999
291660 158 91 22 0 12 0 291660 23.43361637 4.59968624
296518 159 55 22 0 12 0 296518 22.82431371 4.59539542
298630 160 135 22 0 12 0 298630 23.56940124 4.59157246
299310 161 94 22 0 12 0 299310 24.82466409 4.59081156
303201 162 68 12 0 8 0 303201 20.02010079 4.58631246
303422 163 82 12 0 8 0 303422 20.41422755 4.58576194
305447 164 95 22 0 12 0 305447 24.84220165 4.58325254
307235 165 69 12 0 8 0 307235 20.05818058 4.58082531
307730 166 91 22 0 12 0 307730 24.83978356 4.57943189
310271 167 61 12 0 8 0 310271 20.16887788 4.5766704
312787 168 77 12 0 8 0 312787 20.13934462 4.57290212
311843 169 121 22 0 12 0 311843 24.87259567 4.57386809
314488 170 68 22 0 12 0 314488 24.88137406 4.57131892
315722 171 79 22 0 8 0 315722 20.43299379 4.56928076
317289 172 112 22 0 12 0 317289 22.79953174 4.56598294
318411 173 81 22 0 12 0 318411 24.8367909 4.56576493
317575 174 86 22 0 12 0 317575 24.87767865 4.5659302
324302 175 69 12 0 12 0 324302 23.66577061 4.55843209
325928 176 65 22 0 12 0 325928 23.60336607 4.55556333
332628 177 98 12 0 8 0 332628 20.05098332 4.54735954
334417 178 78 22 0 13 0 334417 27.77094363 4.5457147
336337 179 64 22 0 8 0 336337 19.98883944 4.54390818
337875 180 83 22 0 12 0 337875 25.14267171 4.54166248
336096 181 133 22 0 8 0 336096 20.0374214 4.54264474
341207 182 99 22 0 12 0 341207 24.94270951 4.53711743
341365 183 65 12 0 8 0 341365 20.03508004 4.53773487
345825 184 59 22 0 8 0 345825 20.04377666 4.53313577
345579 185 97 22 0 8 0 345579 20.21754898 4.53269735
346282 186 102 22 0 13 0 346282 28.75149772 4.53189059
346589 187 121 12 0 8 0 346589 20.04293996 4.53087636
346689 188 70 22 0 12 0 346689 24.93659536 4.53140999
350538 189 89 22 0 8 0 350538 20.04380848 4.52813189
351427 190 55 22 0 12 0 351427 24.95540101 4.52711059
352076 191 105 12 0 8 0 352076 20.08741227 4.52560244
360146 192 73 22 0 12 0 360146 23.77625601 4.51829168
354040 193 194 22 0 8 0 354040 19.96629116 4.52076297
359655 194 62 22 0 12 0 359655 24.86946818 4.51880818
359827 195 58 22 0 8 0 359827 20.05412751 4.51731916
360917 196 62 22 0 12 0 360917 23.71505536 4.51679234
360630 197 60 22 0 8 0 360630 20.06401753 4.51680177
361137 198 68 12 0 8 0 361137 20.06596665 4.51646567
361133 199 83 12 0 8 0 361133 20.05305409 4.51497101
365647 200 57 22 0 8 0 365647 20.09153239 4.51187301
368418 201 227 22 0 8 0 368418 20.3234173 4.50501254
376228 202 60 22 0 12 0 376228 24.91437229 4.50041196
377365 203 78 22 0 8 0 377365 20.39632664 4.498503
378045 204 102 22 0 8 0 378045 19.94802832 4.49738599
379550 205 74 22 0 8 0 379550 20.24839701 4.49618364
379560 206 105 22 0 8 0 379560 20.40145194 4.49569831
382573 207 71 22 0 8 0 382573 20.39772333 4.49254937
381076 208 205 22 0 8 0 381076 20.26404386 4.49367906
392916 209 78 22 0 8 0 392916 19.91176139 4.48183945
396562 210 65 22 0 13 0 396562 27.26437001 4.47833992
395736 211 63 22 0 12 0 395736 24.95888678 4.4784179
399906 212 59 22 0 8 0 399906 20.39829845 4.47577138
401119 213 182 22 0 12 0 401119 24.97440169 4.47209839
405621 214 72 22 0 8 0 405621 20.29654774 4.46846764
411323 215 57 12 0 8 0 411323 20.09226644 4.46326026
422704 216 127 22 0 12 0 422704 24.9495192 4.45166865
426429 217 69 22 0 12 0 426429 24.03273939 4.44601606
426686 218 59 22 0 12 0 426686 24.02848787 4.44610551
433458 219 69 22 0 12 0 433458 25.77299109 4.43953361
432565 220 89 22 0 8 0 432565 20.04623186 4.43955844
436458 221 63 22 0 12 0 436458 24.96745628 4.43593889
434917 222 56 22 0 12 0 434917 22.81762973 4.43670853
439197 223 103 22 0 12 0 439197 22.88144735 4.43191613
439511 224 55 22 0 12 0 439511 23.78421294 4.43327478
439196 225 90 22 0 12 0 439196 22.84281463 4.43251322
441190 226 71 22 0 12 0 441190 23.51581495 4.43085874
441453 227 75 22 0 12 0 441453 23.55231348 4.430881
440577 228 457 22 0 8 0 440577 20.83983725 4.43111697
443763 229 65 22 0 8 0 443763 20.06792542 4.42810214
444556 230 117 22 0 12 0 444556 25.7779472 4.42714559
440307 231 192 22 0 12 0 440307 23.55763939 4.4277682
451774 232 63 22 0 12 0 451774 23.52571907 4.42190633
451913 233 75 22 0 12 0 451913 25.77734392 4.42140793
452648 234 91 22 0 8 0 452648 20.06705806 4.42126823
456068 235 70 22 0 8 0 456068 19.98957984 4.41834398
457641 236 61 12 0 8 0 457641 19.96972464 4.41723363
454519 237 137 22 0 8 0 454519 20.06784594 4.41847803
458648 238 75 22 0 12 0 458648 22.87643947 4.41626828
458025 239 56 22 0 12 0 458025 23.54161174 4.41698369
460223 240 57 22 0 8 0 460223 20.00588586 4.41521107
461257 241 59 22 0 12 0 461257 23.54212589 4.41460497
460550 242 112 22 0 8 0 460550 19.95023088 4.41446747
461917 243 100 22 0 12 0 461917 23.63797873 4.41336013
460881 244 176 22 0 8 0 460881 20.01994994 4.41314559
463767 245 90 22 0 12 0 463767 22.85794023 4.41187787
464019 246 65 22 0 7 0 464019 18.93964145 4.41096308
465749 247 132 22 0 12 0 465749 23.63799541 4.40975243
464026 248 87 12 0 7 0 464026 19.11572699 4.41028977
460887 249 334 22 0 8 0 460887 20.06210694 4.41241541
468168 250 67 22 0 8 0 468168 19.94620313 4.40750624
467743 251 104 22 0 12 0 467743 25.77169188 4.40832857
470296 252 72 12 0 12 0 470296 25.76933077 4.40631037
470842 253 67 12 0 12 0 470842 23.57742251 4.40479073
471820 254 95 22 0 12 0 471820 23.60480844 4.40516364
477978 255 59 12 0 8 0 477978 20.29153518 4.40001452
474043 256 89 22 0 12 0 474043 23.57900933 4.40208844
477032 257 87 22 0 8 0 477032 20.28923999 4.40040131
476349 258 136 22 0 12 0 476349 22.62812327 4.40006031
484702 259 60 22 0 12 0 484702 25.78377928 4.39446528
485624 260 142 22 0 12 0 485624 25.7706122 4.39280681
486062 261 200 22 0 8 0 486062 19.93506213 4.39157333
489718 262 299 22 0 8 0 489718 21.05483106 4.38889396
490328 263 66 22 0 8 0 490328 19.97110525 4.38918798
493082 264 106 22 0 8 0 493082 21.06575462 4.38705562
493927 265 62 22 0 8 0 493927 19.8662957 4.38634635
487424 266 192 22 0 12 0 487424 25.78220069 4.39007933
491259 267 61 22 0 12 0 491259 23.53692818 4.38761111
492124 268 73 22 0 8 0 492124 20.0121596 4.38674619
494608 269 65 22 0 12 0 494608 23.55148373 4.385622
492728 270 59 22 0 8 0 492728 19.92090395 4.38597767
493601 271 73 22 0 7 0 493601 18.78964891 4.3850452
490926 272 170 22 0 8 0 490926 20.01854387 4.38694483
494520 273 98 12 0 8 0 494520 19.92170994 4.38386723
497936 274 68 22 0 8 0 497936 19.98177735 4.3827306
497831 275 59 22 0 12 0 497831 25.7523614 4.38232205
497084 276 208 22 0 12 0 497084 22.62566229 4.38237676
497042 277 57 22 0 8 0 497042 19.94746532 4.3829841
499203 278 97 22 0 8 0 499203 21.05005012 4.38077162
497345 279 129 22 0 8 0 497345 19.94142742 4.38187659
500274 280 59 12 0 12 0 500274 23.67582819 4.37947168
499162 281 76 22 0 8 0 499162 19.89309623 4.38001596
499168 282 77 12 0 8 0 499168 19.96659399 4.38029867
500593 283 70 22 0 12 0 500593 23.5573868 4.37953443
500552 284 101 22 0 8 0 500552 21.00986611 4.3791824
506167 285 75 22 0 8 0 506167 19.88170053 4.37582418
504079 286 77 22 0 12 0 504079 23.54053067 4.37720314
506170 287 56 12 0 8 0 506170 19.88798818 4.3754998
504701 288 65 22 0 12 0 504701 23.6397082 4.37625719
506455 289 57 12 0 8 0 506455 19.61620718 4.37538792
507272 290 62 22 0 12 0 507272 25.73272534 4.37437324
504064 291 122 22 0 12 0 504064 22.62793637 4.37655688
512013 292 70 22 0 7 0 512013 18.77628754 4.37038734
508388 293 170 22 0 8 0 508388 19.98925864 4.37163451
513602 294 56 22 0 8 0 513602 20.02120805 4.36910802
512661 295 71 22 0 8 0 512661 19.99432757 4.36984486
513998 296 82 22 0 12 0 513998 23.53282308 4.36745676
516948 297 92 22 0 12 0 516948 25.79657753 4.36592429
518575 298 92 22 0 12 0 518575 25.74264541 4.36489148
518435 299 107 22 0 12 0 518435 22.63125124 4.3645209
520348 300 71 22 0 8 0 520348 20.0845101 4.36337772
519078 301 143 22 0 8 0 519078 20.92377608 4.36433531
513972 302 91 12 0 8 0 513972 21.03878316 4.36718545
517877 303 77 12 0 12 0 517877 24.36706376 4.36418996
521581 304 101 22 0 8 0 521581 20.28299977 4.36101629
